sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
ILK-A3-MIN-5	90_S90	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	90_S90_L001_R1_001.fastq.gz	90_S90_L001_R2_001.fastq.gz				
SRD-C-MIN-2	8_S8	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	8_S8_L001_R1_001.fastq.gz	8_S8_L001_R2_001.fastq.gz				
ILK-A3-FH-5	89_S89	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	89_S89_L001_R1_001.fastq.gz	89_S89_L001_R2_001.fastq.gz				
ILK-A3-LM-5	88_S88	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	88_S88_L001_R1_001.fastq.gz	88_S88_L001_R2_001.fastq.gz				
ILK-A2-MIN-5	87_S87	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	87_S87_L001_R1_001.fastq.gz	87_S87_L001_R2_001.fastq.gz				
ILK-A2-FH-5	86_S86	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	86_S86_L001_R1_001.fastq.gz	86_S86_L001_R2_001.fastq.gz				
ILK-A2-LM-5	85_S85	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	85_S85_L001_R1_001.fastq.gz	85_S85_L001_R2_001.fastq.gz				
ILK-C-MIN-5	84_S84	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	84_S84_L001_R1_001.fastq.gz	84_S84_L001_R2_001.fastq.gz				
ILK-C-FH-5	83_S83	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	83_S83_L001_R1_001.fastq.gz	83_S83_L001_R2_001.fastq.gz				
ILK-C-LM-5	82_S82	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	82_S82_L001_R1_001.fastq.gz	82_S82_L001_R2_001.fastq.gz				
ILK-A4-MIN-4	81_S81	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	81_S81_L001_R1_001.fastq.gz	81_S81_L001_R2_001.fastq.gz				
ILK-A4-FH-4	80_S80	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	80_S80_L001_R1_001.fastq.gz	80_S80_L001_R2_001.fastq.gz				
SRD-C-LFH-2	7_S7	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	7_S7_L001_R1_001.fastq.gz	7_S7_L001_R2_001.fastq.gz				
ILK-A3-MIN-4	78_S78	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	78_S78_L001_R1_001.fastq.gz	78_S78_L001_R2_001.fastq.gz				
ILK-A4-LM-4	79_S79	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	79_S79_L001_R1_001.fastq.gz	79_S79_L001_R2_001.fastq.gz				
ILK-A3-LM-4	76_S76	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	76_S76_L001_R1_001.fastq.gz	76_S76_L001_R2_001.fastq.gz				
